Item,Description of Goods,CGST,SGST_UTGST,IGST
12,All goods other than of seed quality,2.5,2.5,5
1201,"Soya beans, whether or not broken other than of seed quality.",2.5,2.5,5
1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or brokenother than of seed quality.",2.5,2.5,5
1203,Copra,2.5,2.5,5
1204,"Linseed, whether or not brokenother than of seed quality.",2.5,2.5,5
1205,"Rape or colza seeds, whether or not brokenother than of seed quality.",2.5,2.5,5
1206,"Sunflower seeds, whether or not brokenother than of seed quality",2.5,2.5,5
1207,"Other oil seeds and oleaginous fruits (i.e. Palm nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamustinctorius) seeds, Melon seeds, Poppy seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken, other than of seed quality",2.5,2.5,5
1208,"Flour and meals of oil seeds or oleaginous fruits, other than those of mustard",2.5,2.5,5
1210 20 00,"Hop cones, ground, powdered or in the form of pellets; lupulin",2.5,2.5,5
1211,"Plants and parts of plants (including  seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, frozen or dried, whether or not cut, crushed or powdered",2.5,2.5,5
1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichoriumintybussativum) of a kind used primarily for human consumption, not elsewhere specified or included",2.5,2.5,5
1301,"Natural gums, resins, gum-resins and oleoresins (for example, balsams) [other than lac and shellac]",2.5,2.5,5
1301,Compounded asafoetida commonly known as heeng,2.5,2.5,5
13,Tamarind kernel powder,2.5,2.5,5
1401,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)",2.5,2.5,5
"1404 [other than 1404 90 10, 1404 90 40, 1404 90 50, 1404 90 60]","Vegetable products not elsewhere specified or included such as, Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving, Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian katha, coconut shell, unworked]",2.5,2.5,5
1404 or 3305,Mehendi paste in cones,2.5,2.5,5
1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified",2.5,2.5,5
1508,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 1509",2.5,2.5,5
1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.",2.5,2.5,5
1513,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",2.5,2.5,5
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",2.5,2.5,5
1515,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",2.5,2.5,5
1516,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.",2.5,2.5,5
1517,"Edible mixtures or preparations of  vegetable fats or vegetable oils or of fractions of different vegetable fats or vegetable oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",2.5,2.5,5
1518,"Vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516",2.5,2.5,5
1701,"Beet sugar, cane sugar",2.5,2.5,5
1702 or 1704,"Palmyra sugar, mishri, batasha, bura, [akar, khadisakar, harda, sakariya, gatta, kuliya, elaichidana, lukumdana, chikkis like puffed rice chikki, peanut chikki, sesame chikki,  tilchikki, tilpatti, tilrevdi, sugar makhana, groundnut sweets,gajak, khaja, khajuli, anarsa",2.5,2.5,5
1801,"Cocoa beans whole or broken, raw or roasted",2.5,2.5,5
1802,"Cocoa shells, husks, skins and other cocoa waste",2.5,2.5,5
1803,Cocoa paste whether or not de-fatted,2.5,2.5,5
1901 20 00,"Mixes and doughs for the preparation of bread, pastry and other baker's wares",2.5,2.5,5
1902,Seviyan (vermicelli),2.5,2.5,5
1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms. (sabudana)",2.5,2.5,5
1905,Pizza bread,2.5,2.5,5
1905 or 2106,"Khakhra, plain chapatti or roti",2.5,2.5,5
1905 40 00,"Rusks, toasted bread and similar toasted products",2.5,2.5,5
2106,"Roasted Gram ,idli/dosa batter, chutney powder",2.5,2.5,5
